'GENE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,"10,000 cell Rep1 (P1)","10,000 cell Rep2 (P2)","10,000 cell Rep3 (P3)",Gene Category
'0610007L01RIK,27.18156989,37.68269104,0.056915943,55.64925014,0,39.69766444,0,0.070822057,2.458406956,3.112704166,0.029307745,206.5134699,0,19.67862488,19.91881147,7.270068846,39.3421918,0.031865744,11.06749851,12.4667307,7.190973384,
'0610007P14RIK,0.166793811,0.263961526,78.62245879,0.228865742,0.093116666,10.23572608,114.4905602,9.495960164,0.287206306,1.177111054,468.4038038,503.1650068,0,0,215.3106089,17.93308911,14.35408358,116.6715222,77.30096305,67.97402979,64.82891264,
'0610007P22RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.893350559,6.62328866,6.600724297,
'0610008F07RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'0610009B22RIK,0,0.207920632,0.145680098,0,131.3260079,0,0,101.6677417,0.679176082,10.25574626,0,0.410569545,0,0,0,0,0.21019619,0,32.24567304,32.18060075,46.12566175,
'0610009D07RIK,178.8527321,0.14109869,0.396362651,88.79815772,155.9363608,132.154787,1.159507658,157.7364891,370.340707,209.3281006,118.0871045,256.0411439,0.300714765,52.0202301,228.2646985,69.9129163,0.142449129,209.2682658,121.2272475,128.9393117,113.5953132,
'0610009O20RIK,0,0,0,0,0,0,0,43.94071339,0,0,0,0,0,1.055411939,0,0,0,0,2.559994824,3.224792531,1.540071599,
'0610010B08RIK,0.962417413,0,0,0,0,0.073867405,0,0.006320303,0,0,0,0,0,0,0,0,0,0,0.18811999,0.146298068,0.121944479,
'0610010F05RIK,0,0,0.024691889,0,0,0.185683708,0,0,41.89492862,0,0,0,0,0,0,0,0.228465212,1.346048452,4.405287106,3.747252175,2.85160866,
'0610010K06RIK,143.35955,0.255616529,72.77584625,93.82544153,0.031029221,2.010054961,0,0,0.09528447,0.038217397,121.420257,0.086989437,0.046705903,101.6426107,0.125642369,0.04586687,143.1949893,52.9237146,42.3872456,28.74474357,38.18584446,
'0610010K14RIK,0,9.175398392,0,19.51023347,0,4.062602511,0,0,56.74065,0,1.285799801,0,0,0,0,0,0,0,12.74800458,17.5615722,16.70137211,
