,gene_category
0610007L01RIK,
0610007P14RIK,
0610007P22RIK,
0610008F07RIK,
0610009B22RIK,
0610009D07RIK,
0610009O20RIK,
0610010B08RIK,
0610010F05RIK,
0610010K06RIK,
0610010K14RIK,
0610010O12RIK,
0610011F06RIK,
0610011L14RIK,
0610012G03RIK,
0610012H03RIK,
0610030E20RIK,
0610031J06RIK,
0610037L13RIK,
0610037P05RIK,
0610038B21RIK,
0610039K10RIK,
0610040B10RIK,
0610040J01RIK,
0910001L09RIK,
100043387,
1100001G20RIK,
1110001A16RIK,
1110001J03RIK,
1110002B05RIK,
1110002L01RIK,
1110002N22RIK,
1110003E01RIK,
1110004E09RIK,
1110004F10RIK,
1110005A03RIK,
1110006O24RIK,
1110007C09RIK,
1110008F13RIK,
1110008J03RIK,
1110008L16RIK,
1110008P14RIK,
1110012D08RIK,
1110012J17RIK,
1110012L19RIK,
1110014N23RIK,
1110017F19RIK,
1110018G07RIK,LPS Response
1110018H23RIK,
1110018J18RIK,
1110020A21RIK,
1110020G09RIK,
1110021J02RIK,
1110021L09RIK,
1110028C15RIK,
1110031I02RIK,
1110032A03RIK,
1110032A04RIK,
1110032F04RIK,LPS Response
1110034A24RIK,
1110034B05RIK,
1110034G24RIK,
1110037F02RIK,
1110038B12RIK,
1110038D17RIK,
1110038F14RIK,LPS Response
1110049F12RIK,
1110051M20RIK,
1110054O05RIK,
1110057K04RIK,
1110058L19RIK,
1110059E24RIK,
1110059G10RIK,
1110059M19RIK,
1110065P20RIK,
1110067D22RIK,
1190002H23RIK,LPS Response
1190002N15RIK,
1190003J15RIK,
1190003K10RIK,
1190005I06RIK,
1190007F08RIK,
1190007I07RIK,
1200009I06RIK,LPS Response
1200011I18RIK,
1200014J11RIK,
1200016B10RIK,
1300001I01RIK,
1300002K09RIK,
1300010F03RIK,
1300014I06RIK,
1300017J02RIK,
1300018I17RIK,
1300018J18RIK,
1500001M20RIK,
1500002O20RIK,
1500003O03RIK,
1500004A13RIK,
1500009C09RIK,
1500009L16RIK,
1500011H22RIK,
1500011K16RIK,
1500012F01RIK,
1500015A07RIK,
1500015O10RIK,
1500017E21RIK,
1500031L02RIK,
1500032L24RIK,
1520402A15RIK,
1600002H07RIK,
1600002K03RIK,
1600012F09RIK,
1600012H06RIK,
1600012P17RIK,
1600014C10RIK,LPS Response
1600014C23RIK,
1600014K23RIK,
1600015I10RIK,
1600016N20RIK,
1600021P15RIK,
1600027N09RIK,
1600029D21RIK,
1600029I14RIK,
1600029O15RIK,
1700001C02RIK,
1700001C19RIK,
1700001F09RIK,
1700001G17RIK,
1700001J03RIK,
1700001J11RIK,
1700001K19RIK,
1700001K23RIK,
1700001L05RIK,
1700001L19RIK,
1700001O22RIK,
1700001P01RIK,
1700003E16RIK,
1700003F12RIK,
1700003G18RIK,
1700003H04RIK,
1700003M02RIK,
1700006A11RIK,
1700006E09RIK,
1700007B14RIK,
1700007E06RIK,
1700007G11RIK,
1700007I08RIK,
1700007K09RIK,
1700007K13RIK,
1700008A04RIK,
1700008F21RIK,
1700008I05RIK,
1700008J07RIK,
1700008O03RIK,
1700008P02RIK,
1700008P20RIK,
1700009J07RIK,
1700009N14RIK,
1700009P17RIK,
1700010B08RIK,
1700010D01RIK,
1700010H22RIK,
1700010I14RIK,
1700010M22RIK,
1700011A15RIK,
1700011E24RIK,
1700011F03RIK,
1700011F14RIK,
1700011H14RIK,
1700011I03RIK,
1700011L22RIK,
1700011M02RIK,
1700012A03RIK,
1700012A16RIK,
1700012B07RIK,
1700012B09RIK,
1700012B15RIK,
1700012D14RIK,
1700012L04RIK,
1700012P22RIK,
1700013B16RIK,
1700013D24RIK,
1700013F07RIK,
1700013G24RIK,
1700013H16RIK,
1700014N06RIK,
1700015E13RIK,
1700015F17RIK,
1700015G11RIK,
1700016C15RIK,
1700016D06RIK,
1700016H13RIK,
1700016K19RIK,
1700016M24RIK,
1700017B05RIK,
1700017D01RIK,
1700017N19RIK,
1700018A04RIK,
1700018A14RIK,
1700018B08RIK,
1700018B24RIK,
1700018C11RIK,
1700018F24RIK,
1700018L02RIK,
1700018L24RIK,
1700019A02RIK,
1700019B03RIK,
1700019D03RIK,
1700019E19RIK,
1700019G17RIK,
1700019L03RIK,
1700019M22RIK,
1700019N12RIK,
1700019N19RIK,
1700019O17RIK,
1700020A23RIK,
1700020C07RIK,
1700020D05RIK,
1700020I14RIK,
1700020L24RIK,
1700020N01RIK,
1700020N18RIK,
1700021C14RIK,
1700021F05RIK,
1700021F07RIK,
1700021K19RIK,
1700022A21RIK,
1700022I11RIK,
1700022P22RIK,
1700023A16RIK,
1700023E05RIK,
1700023F06RIK,
1700023I07RIK,
1700024G13RIK,
1700024P04RIK,
1700024P16RIK,
1700025C18RIK,
1700025E21RIK,
1700025F22RIK,
1700025G04RIK,
1700025K23RIK,
1700026D08RIK,
1700026J04RIK,
1700026L06RIK,
1700027A23RIK,
1700027D21RIK,
1700028B04RIK,
1700028J19RIK,
1700028K03RIK,
1700028M03RIK,
1700028P14RIK,
1700029F09RIK,
1700029F12RIK,
1700029G01RIK,
1700029H14RIK,
1700029I15RIK,
1700029J07RIK,
1700029J11RIK,
1700029M20RIK,
1700029P11RIK,
1700030C10RIK,
1700030F18RIK,
1700030J22RIK,
1700030K09RIK,
1700031F05RIK,
1700031F10RIK,
1700031M16RIK,
1700034E13RIK,
1700034F02RIK,
1700034H14RIK,
1700034H15RIK,
1700034I23RIK,
1700034J05RIK,
1700034O15RIK,
1700037C18RIK,
1700037H04RIK,
1700039E15RIK,
1700040F15RIK,
1700040I03RIK,
1700040L02RIK,
1700041B01RIK,
1700041C23RIK,
1700042B14RIK,
1700042G07RIK,
1700044K03RIK,
1700045I19RIK,
1700048O20RIK,
1700049E15RIK,
1700049E17RIK1,
1700049G17RIK,
1700049L16RIK,
1700052I22RIK,
1700052K11RIK,
1700052N19RIK,
1700054K19RIK,
1700054N08RIK,
1700054O13RIK,
1700056E22RIK,
1700057G04RIK,
1700057K13RIK,
1700058C13RIK,
1700058G18RIK,
1700060C20RIK,
1700061G19RIK,
1700061J05RIK,
1700065D16RIK,
1700065I17RIK,
1700066B19RIK,
1700066M21RIK,
1700066O22RIK,
1700067K01RIK,
1700067P10RIK,
1700069L16RIK,
1700071K01RIK,
1700072E05RIK,
1700074P13RIK,
1700080E11RIK,
1700080O16RIK,
1700081L11RIK,
1700084C01RIK,
1700084E18RIK,
1700084J12RIK,
1700086L19RIK,
1700086O06RIK,
1700088E04RIK,
1700090G07RIK,
1700092M07RIK,
1700093K21RIK,
1700094C09RIK,
1700094D03RIK,
1700096J18RIK,
1700096K18RIK,
1700101E01RIK,
1700102P08RIK,
1700106J16RIK,
1700106N22RIK,
1700108F19RIK,
1700108J01RIK,
1700108M19RIK,
1700109F18RIK,
1700109G14RIK,
1700109H08RIK,
1700110M21RIK,
1700111N16RIK,
1700112E06RIK,
1700113H08RIK,
1700113I22RIK,
1700120K04RIK,
1700121N20RIK,
1700123K08RIK,
1700123L14RIK,
1700123O20RIK,
1700125D06RIK,
1700125H20RIK,
1700128F08RIK,
1700129C05RIK,
1810006K21RIK,
1810008A18RIK,
1810009A15RIK,
1810009J06RIK,
1810010D01RIK,
1810010H24RIK,
1810011H11RIK,
1810011O10RIK,
1810012P15RIK,
1810013D10RIK,
1810013L24RIK,
1810014B01RIK,
1810014F10RIK,
1810019J16RIK,
1810020D17RIK,
1810022C23RIK,
1810022K09RIK,
1810024B03RIK,
1810026J23RIK,
1810027O10RIK,
1810029B16RIK,LPS Response
1810030J14RIK,
1810030N24RIK,
1810030O07RIK,
1810031K17RIK,
1810032O08RIK,
1810033B17RIK,
1810037I17RIK,
1810041L15RIK,
1810043G02RIK,
1810043H04RIK,
1810046J19RIK,
1810046K07RIK,
1810048J11RIK,
1810049H13RIK,
1810055G02RIK,
1810058I24RIK,
1810062O18RIK,
1810063B05RIK,
1810063B07RIK,
1810064F22RIK,
1810065E05RIK,
2010000I03RIK,
2010001E11RIK,
2010001M06RIK,
2010001M09RIK,
2010002M12RIK,LPS Response
2010002N04RIK,
2010003K11RIK,
2010003K15RIK,
2010005H15RIK,
2010007H12RIK,
2010011I20RIK,
2010012O05RIK,
2010015L04RIK,
2010016I18RIK,
2010106E10RIK,
2010106G01RIK,
2010107E04RIK,
2010107G12RIK,
2010107G23RIK,
2010107H07RIK,
2010109I03RIK,
2010109K11RIK,
2010110P09RIK,
2010111I01RIK,
2010300C02RIK,
2010305A19RIK,
2010315B03RIK,
2010320M18RIK,
2010321M09RIK,
2200002D01RIK,LPS Response
2200002J24RIK,
2200002K05RIK,
2210009G21RIK,LPS Response
2210010C04RIK,
2210010C17RIK,
2210012G02RIK,
2210013O21RIK,
2210015D19RIK,
2210016F16RIK,
2210016L21RIK,
2210018M11RIK,
2210020M01RIK,
2210021J22RIK,
2210023G05RIK,
2210403K04RIK,
2210404O07RIK,
2210407C18RIK,
2210408I21RIK,
2210409E12RIK,
2210411K11RIK,
2210415F13RIK,
2210417A02RIK,
2210418O10RIK,
2300002M23RIK,
2300003K06RIK,
2300005B03RIK,
2300009A05RIK,
2310001A20RIK,
2310001K24RIK,
2310002J15RIK,
2310002L09RIK,
2310002L13RIK,
2310003C23RIK,
2310003F16RIK,
2310003H01RIK,
2310003L22RIK,
2310004I24RIK,
2310004N24RIK,
2310005G13RIK,
2310007B03RIK,
2310007L24RIK,
2310008H09RIK,
2310009B15RIK,
2310010M20RIK,
2310011J03RIK,
2310014H01RIK,
2310014L17RIK,LPS Response
2310015A10RIK,
2310016C08RIK,
2310016M24RIK,
2310021H06RIK,
2310021P13RIK,
2310022A10RIK,
2310022B05RIK,
2310028H24RIK,
2310028O11RIK,
2310030G06RIK,
2310030N02RIK,
2310033E01RIK,
2310033P09RIK,
2310034C09RIK,
2310035C23RIK,
2310035K24RIK,
2310036O22RIK,
2310037I24RIK,
