,gene_name,gene_category
chr10:126534988:126535177:-@chr10:126533971:126534135:-@chr10:126533686:126533798:-,OS9,
chr10:14403870:14403945:-@chr10:14395740:14395848:-@chr10:14387738:14387914:-,VTA1,
chr10:20051892:20052067:+@chr10:20052202:20052363:+@chr10:20053198:20053697:+,BCLAF1,
chr10:20052864:20053378:+@chr10:20054305:20054451:+@chr10:20059515:20059727:+,BCLAF1,
chr10:58814831:58815007:+@chr10:58817088:58817158:+@chr10:58818098:58818168:+@chr10:58824609:58824708:+,P4HA1,LPS Response
chr10:79173370:79173665:+@chr10:79174001:79174029:+@chr10:79174239:79174726:+,BSG,
chr10:79322526:79322700:+@chr10:79322862:79322939:+@chr10:79323569:79323862:+,PTBP1,
chr10:87376364:87376545:+@chr10:87378043:87378094:+@chr10:87393420:87399792:+,IGF1,
chr10:92747514:92747722:-@chr10:92727625:92728425:-@chr10:92717434:92717556:-,ELK3,
chr11:101438508:101438565:+@chr11:101439246:101439351:+@chr11:101441899:101443267:+,NBR1,
chr11:106616096:106616365:+@chr11:106622497:106622610:+@chr11:106625170:106625262:+,GM885,
chr11:119136374:119136505:+@chr11:119138156:119138266:+@chr11:119138815:119138928:+,GAA,
chr11:120829309:120829448:-@chr11:120826262:120826324:-@chr11:120823055:120825220:-,CSNK1D,
chr1:130078563:130078789:+@chr1:130080977:130081231:+@chr1:130083335:130087850:+,R3HDM1,
chr11:3025239:3026061:+@chr11:3027134:3027222:+@chr11:3027482:3031950:+,SFI1,
chr11:48684596:48685187:-@chr11:48682064:48682282:-@chr11:48678747:48680505:-,IRGM1,LPS Response
chr11:51080559:51080833:+@chr11:51084039:51084097:+@chr11:51085302:51087129:+,CLK4,
chr11:51085302:51085524:+@chr11:51086580:51086670:+@chr11:51087062:51087129:+,CLK4,
chr11:51416095:51416197:-@chr11:51415252:51415392:-@chr11:51409678:51414980:-,HNRNPAB,
chr1:157888019:157888132:+@chr1:157888205:157888264:+@chr1:157898424:157900866:+,TOR1AIP2,LPS Response
chr11:6213791:6213982:+@chr11:6216768:6216858:+@chr11:6216981:6217083:+@chr11:6234536:6234651:+,OGDH,
chr11:6315214:6318134:+@chr11:6318229:6318317:+@chr11:6319185:6319288:+@chr11:6319481:6319821:+,PPIA,Housekeeping
chr11:70833099:70833691:+@chr11:70838060:70838213:+@chr11:70838612:70840880:+,MIS12,
chr11:72802472:72802589:+@chr11:72802977:72803049:+@chr11:72805191:72806546:+,ATP2A3,
chr11:72802472:72802589:+@chr11:72802977:72803062:+@chr11:72805191:72806546:+,ATP2A3,
chr1:173568794:173569399:-@chr1:173567428:173567531:-@chr1:173565848:173566505:-,SLAMF7,LPS Response
chr11:78349862:78350078:+@chr11:78352012:78352240:+@chr11:78352336:78352464:+,IFT20,
chr11:80205337:80205494:+@chr11:80206586:80206678:+@chr11:80207788:80208033:+,ZFP207,
